title,descrizione,host,cosa,giorni,location,description
,,FAI Giovani Imperia,lab,"27,28,29",itinerante,
,,LIBERA Imperia,lab,"27,28,29",Giardini Regina Elena,
,,Passione Scienza,lab,"27,28,29",Centro Risorse,
,,Balbosco,lab,27,Piazza Santa Brigida,
,,Interpreti LIS,lab,"27,28,29",Porta San Giuseppe,
,,CICAP Cuneo,lab,29,Piazza Cassini,
,,Caritas Intemelia,lab,28,Piazzetta dei Ferri,
,,WeWorld,lab,27,Via Tapoletti,
,,ASCS,lab,"28,29",Piazza San Costanzo,
,,Birrificio Nadir,lab,29,Piazza Santa Brigida,
,,Overload,lab,"27,28,29",Piazzetta Santa Brigida,
,,ASCS,lab,"27,28,29",Piazza San Costanzo,
,,Radioimmaginaria,lab,27,Terrazza Santa Brigida,
,,,lab,"27,28,29",Via Tapoletti,
,,Caritas Intemelia,lab,28,Piazzetta dei Ferri,
