title,days,location,host,what,host_name,times
,"27,28",Via Tapoletti,Malegaleco,lab, ,
,27,Piazza Santa Brigida,Balbosco,lab,Teresa De Grandis,
,"26,27,28",Piazza Cassini,LIBERA Imperia,lab,Maura Orengo,
,"26,27,28",Piazza Santa Brigida,Homebox,lab,Elena Ricagno,
,"26,27,28",Palazzo Nota,"Passione Scienza,ITP CERN",lab,"Claudio Bortolin, ",
,27,Terrazza Santa Brigida,Etica Digitale,lab,Ciro Ogliastro,
,26,Chiesa di Santa Brigida,Kenobit,lab,Fabio Bortolotti,
,"27,28,26",Porta San Giuseppe,Caketussy,lab, ,
,28,Piazza Cassini,,lab,Christian Gullone,
,"26,27,28",Piazza San Costanzo,O.d’A.d’A.,lab,Valerio Amadeo,
,"26,27,28",Giardini Regina Elena,,lab,Giovanni De Mattia,
,26,Terrazza Santa Brigida,,lab,Vittorio Toesca,
,28,Oratorio San Costanzo,Alessandro Sahebi,lab,Alessandro Sahebi,
,"27,28",Giardini Regina Elena,"Fridays For Future Ventimiglia,",lab,"Pietro Pizzo,Giampiero Cane",
,"26,27",Oratorio San Costanzo,,lab,Jennifer Guerra,
,"26,27,28",Terrazza San Costanzo,Extintion Rebellion (XR),lab,Ilaria Giora,
,"26,27",Giardini Regina Elena,ASD Liberalamente,lab,Rossella Piccinelli,
,27,itinerante,Open Street Map Italia,lab,Valerio Bozzolan,
