title,days,location,host,what,description
Art Ateliér,"26,27,28,",Rivolte di San Sebastiano,Art Atèlier,pinolo,Art Atelier it's a little local business where you can find artworks in olive wood.
BACA,"27,28,",Piazza Cassini,BACA,pinolo,"With the pinolo of B.A.C.A. (Bikers Against Child Abuse) it’ll be possible to know who they are, what they do worldwide and, for the little ones, to take photos on their Harleys"
Costa Ligure,26,Piazza Cassini,Costa Ligure,pinolo,"Costa Ligure is one of the main italian productors of Genovese <em lang='it'>pesto</em>, patè vegetable creams, bruschetta, sauces and preserves in oil.   Their customers find quality and authenticity that distinguish a handcrafted product."
Da Capo,"26,27,28,",Piazzetta dei Ferri,Staff Scambi,pinolo,"Da Capo gives you the chance of exchanging clothes  and accessories entirely for free with other Scambi participants, giving them a new life. The textile and fashion industry is the second most polluting worldwide, responsible for about 10% of global carbon dioxide emissions. Furthermore, by buying clothes of big enterprises that do not guarantee transparency nor an ethical production chain, we might end up sponsoring the exploitation of their workers, the employment of underage youth, unbearably low wages and a lack of social protection. Thrifting is a simple, inclusive and cheap way to diminish the environmental and social impact of our clothing, taking care of other people, the environment and our bodies. See you at Da Capo!"
Goldwire,"27,28,",Piazza Cassini,Goldwire,pinolo,Goldwire is a business network aimed at sharing ideas and projects of a creative and artisanal nature
Il Buco,"25,26,27,28,",Piazza Santa Brigida,Barrio Buidlers,pinolo,"BARRIO BUIDLERS brings together art and technology by assisting artists to approach the world of blockchain, taking care of the creation of NFTs connected to physical works. The community of artists will participate in projects and events of revaluation, also thanks to the blockchain, their support will be recognized in a transparent and timeless way."
Leideebs & Kunf3,"25,26,",Piazza Santa Brigida,Leideebs & Kunf3,pinolo,"We’re two young artisans natives of the Sanremo’s Pigna, with laboratory based at the beginning of Rivolte di San Sebastiano. Our main goal is to avoid the fast fashion economy, trying to generate awareness through offering handmade products coming from 100% natural materials. Every article is a unique piece made by two girls hands."
Omas Seifen,"27,28,",Piazza Cassini,Omas Seifen,pinolo,"Omas Seifen is a body care company. Precious raw materials, refined recipes and uncompromising attention to detail go into the craft of handmade soap. Omas Seifen offers a wide range of products: Body soaps, shampoos, make-up removers, lip balms ... and much more. All handmade with love and 100% natural products."
Panni Macramè,28,Piazza Santa Brigida,,pinolo,"Nelly has been doing decorative arts for about nine years, having started with paintings on glass. She has participated in several art exhibitions in Liguria. She has also made pannos with combination of paints and semi-precious stones. As of late she has been making pannos for decorating interior walls in macramè style."
SanTo,"25,26,27,28,",Palazzo Gentile,OfficineBrand,pinolo,"The historic center of the city of Sanremo, La Pigna, and Borgo Campidoglio, in Turin come together for a contemporary art collective to celebrate the deep relationship that binds the two cities through the reflections of 10 artists with their works."
SquiLibristi,"26,27,28,","Piazzetta dei Ferri,La Ciotola,",Staff Scambi,pinolo,Continuing the adventure of our Reading Group you will find us every morning at La Ciotola to read and listen to words and reflections related to imbalance accompanied by a cappuccino and a freshly baked focaccia.
The Daisy Folk,27,Piazza Cassini,The Daisy Folk,pinolo,"This brand was created to give a bit of lightheartedness and color to the wearer. It is partly inspired by the 70's hippie culture. Colorful clothes, van life, lots of love and freedom. I wish the wearer would feel like wearing a flower in their hair. Have you ever woven a wreath of wildflowers? Maybe with daisies. Less perfection more authenticity is instead the key concept of the brand. What a craftsman creates is something unique and never the same. It allows us to be express ourselves in an authentic and original way and there is nothing more beautiful than being different, having the freedom to give ourselves permission to be ourselves and live free from the ideas and expectations of others."
Understanding Europe,"26,27,28,",Piazza Cassini,Understanding Europe,pinolo,"Understanding Europe is a transnational educational network, of which the European Youth Parliament is a promoter in Italy, that aims to empower young people in Europe through education for democratic citizenship and seeks to give them a voice.  Our educational formats and methods are based on the Peer Education approach: they are inclusive and dialogic and encourage the participation of differently socialized target groups. The project creates a protected space for learning and collaboration, providing opportunities for young people to explore, learn about themselves, better understand other worldviews and experiences, and engage with issues often excluded from traditional school curricula. In our Pinolo at Scambi we want to promote small debates on European issues, gather opinions and provocations, and answer questions about the history, institutions, competences and current main topics of the European Union."
