platform,url,attributes
Facebook,https://facebook.com/cambisfestival,
Twitter,https://twitter.com/scambifestival,
Instagram,https://instagram.com/scambifestival,
Bookwyrm,https://bookwyrm.social/user/scambi,
Codeberg,https://codeberg.org/scambi,
GitHub,https://github.com/scambifestival, authn
Liberapay,https://liberapay.com/scambi,
Linkedin,https://linkedin.com/company/69114673,
Mastodon.uno,https://mastodon.uno/@scambi,
Pixelfed.uno,https://pixelfed.uno/scambi,
Telegram,https://t.me/scambifestival,
Mobilizon.it,https://mobilizon.it/events/06e92e66-bf35-4755-9ce7-b154850c0afa,
PeerTube.uno,https://peertube.uno/c/scambifestival,
