id,Ente,Nome,Cognome,stato,cosa,referente,edizione,note,Programma 2021,Programma 2022,bio,Contabilità 2021,url,Persone 2022,profile pic,logo
3,,Jennifer,Guerra,confermato,lab,Sabrina,2022,,,Nodi,"Jennifer Guerra è una giornalista e scrittrice che si occupa di Femminismo e tematiche LGBTQ+. Ha scritto per The Vision, L'Espresso, La Stampa, 7 Corriere e Fanpage.it. Ha pubblicato due libri, ""Il Corpo Elettrico"" (Tlon, 2020) e ""Il capitale amoroso. Manifesto per un Eros politico e rivoluzionario"" (Bompiani, 2021).",,https://www.jenniferguerra.it/,Jennifer,https://nuvola.scambi.org/apps/files/?dir=/assets/profile_pics&openfile=198610,
10,Extintion Rebellion (XR),Ilaria,,confermato,lab,Margherita,2022,,,Squilibrio e ambiente,"Extinction Rebellion è un movimento decentrato, internazionale e politicamente apartitico che utilizza l’azione non violenta e la disobbedienza civile per convincere i governi a intervenire sull’emergenza climatica ed ecologica. In Italia sono attivi vari gruppi, tra cui quello di Venezia, ospite a Scambi 2022.",,https://rebellion.global/it/groups/it-venezia/#events,"XR 1,XR 2,XR 3",https://nuvola.scambi.org/s/bBsQ5qkne8qbRGm,
14,Passione Scienza,Claudio,Bortolin,confermato,lab,Margherita,"2021,2022",,"Giochi quantistici,L’altra metà del palindromo",Esperimenti Squilibrati,"Claudio Bortolin con il suo libro

Claudio Bortolin è parte dello staff di ingegneri del CERN di Ginevra, dove si dedica all’esperimento ATLAS, occupandosi, in particolare, dei sistemi di raffreddamento del rivelatore. Attraverso la sua pagina Passione Scienza fa convergere la sua professione e la comunicazione con il pubblico, specialmente con i giovani. Seguite i suoi spostamenti: vi porterà in un viaggio tra le scoperte scientifiche, raccontate dai protagonisti! Sull’onda della sua grande attitudine nel trasmettere conoscenza e passione, ha pubblicato da poco per Nerosubianco il romanzo L’altra metà del palindromo.",,,,,
19,ASD Liberalamente,Rossella,Piccinelli,confermato,lab,Gabriela,2022,,,Tai Chi,,,,Rossella,https://nuvola.scambi.org/s/JHsEqtSsXjNo3Ai,https://nuvola.scambi.org/s/JHsEqtSsXjNo3Ai
20,,Alessandro,Sahebi,confermato,lab,Giulia,2022,,,La finestra di Overton: realizzare l’utopia,,,https://alessandrosahebi.it/,Alessandro,,
22,Teatroterapia,Giovanni,De Mattia,confermato,lab,Fiammetta,2022,,,Inside Out,"Giovanni De Mattia nasce a Sanremo il 07 settembre del 1993. È un teatroterapeuta, attore di teatro e cinema e insegnante di yoga. 
Da sei anni conduce incontri e workshops di teatroterapia integrata in diverse città tra cui Sanremo, Genova, Milano e Bologna.",,,,https://nuvola.scambi.org/s/zk4NqocPxjAkTF5,https://nuvola.scambi.org/s/C56nKaZzcfW2Naz
25,Orbita,Lorenzo,Sicignano,confermato,"lab,serata",Tommaso,2022,,,2 - Osservazione del cielo stellato,"Lorenzo Sicignano è Presidente di Orbita, l’associazione che gestisce l’Osservatorio Astronomico di Perinaldo.
Divulgatore scientifico e astronomico, è di Sanremo e ha 22 anni.

Orbita nasce con lo scopo di comunicare e trasmettere la scienza e le bellezze del cosmo, in maniera più semplificata, a persone di tutte le età.
Da diversi anni le nostre guide esperte accompagnano appassionati e non, alla scoperta dello spazio, tra osservazioni astronomiche, eventi, viaggi e laboratori.
Dove c’è astronomia c’è curiosità, e dove c’è curiosità c’è Orbita!",,,Lorenzo,,
32,Seeweb,Chiara,Grande,confermato,sponsor tecnico,Tommaso,2022,,,,"Seeweb offre soluzioni cloud sostenibili e responsabili. Le loro politiche aziendali contemplano etica, inclusione e supporto a progetti per il sociale e l'ambiente. Tutte le loro server farm sono alimentate sfruttando esclusivamente energia rinnovabile al 100%.",,,,,https://scdn1.plesk.com/wp-content/uploads/2016/11/24160511/seeweb.png
37,Break The Silence ITA,Camilla,Deiana,confermato,lab,Sabrina,2022,,,,,,,,,
39,Cubbit,Francesco,Pazzaglia,confermato,"sponsor,pinolo",Tommaso,"2021,2022",,"Cubbit,Lotteria Cubbit",Sponsorizzazione Cubbit,"Cubbit è il primo provider europeo di cloud storage distribuito: i suoi servizi superano gli attuali
standard di mercato in termini di sicurezza, privacy e sostenibilità ambientale.
Convinti che l'internet del futuro debba risolvere le sue attuali contraddizioni, i fondatori di Cubbit
sono guidati da una vision che identifica nella privacy un diritto fondamentale e inalienabile, e dalla
certezza che il digitale debba essere ripensato per rendere il suo carbon footprint sostenibile. La strada
maestra per ottenere questi risultati è l’introduzione delle tecnologie distribuite nel mondo IT:
soluzioni che garantiscono sicurezza, privacy e tutela dell’ambiente, e che anticipano l’avvento del
Web 3.0, previsto nel prossimo decennio.",Donazione Cubbit srl,,,,https://nuvola.scambi.org/s/gLArGwtqazewxQn
