Nome,Cognome,role,Team,bio,bio_en,image,url
,,socio,Silicon,,,,
,,socio,Silicon,,,,
,,socio,Libellule,,,,
,,tirocinante,"Libellule,Api",,,,
,,tirocinante,Stambecchi,,,,
,,socio,Stambecchi,,,,
,,socio,Stambecchi,,,,
,,socio,Silicon,,,,
,,socio,Silicon,,,,
,,socio,"Dissolvenze,Chiocciole",,,,
,,consigliere,"Api,Camaleonti",,,,
,,consigliere,"Api,Camaleonti",,,,
,,socio,Stambecchi,,,,
,,socio,Api,,,,
,,socio,Api,,,,
,,socio,Chiocciole,,,,
,,socio,"Stambecchi,Dissolvenze",,,,
,,socio,Dissolvenze,,,,
,,socio,"Libellule,Peacocks",,,,
,,socio,Stambecchi,,,,
,,consigliere,Libellule,,,,
,,tirocinante,Libellule,,,,
,,socio,Chiocciole,,,,
,,socio,"Dissolvenze,Chiocciole",,,,
,,vice presidente,"Api,Camaleonti",,,,
,,presidente,Camaleonti,,,,
,,socio,Stambecchi,,,,
,,socio,Peacocks,,,,
